post_date,avg_sentiment,variance,total_posts,pos,neg,neu
2025-03-09 00:00:00+00:00,0.6,0.0,1,1,0,0
2025-03-10 00:00:00+00:00,0.028571428571428574,0.005714285714285716,7,0,0,7
2025-03-11 00:00:00+00:00,0.13333333333333333,0.04,9,3,0,6
2025-03-12 00:00:00+00:00,0.3,0.18,2,1,0,1
2025-03-13 00:00:00+00:00,0.05217391304347827,0.011699604743083007,22,6,1,16
2025-03-14 00:00:00+00:00,0.0,0.016000000000000004,11,2,1,8
2025-03-15 00:00:00+00:00,0.18181818181818182,0.07563636363636364,11,4,0,7
2025-03-16 00:00:00+00:00,0.3,0.18,2,1,0,1
2025-03-17 00:00:00+00:00,0.0,0.0,9,0,0,9
2025-03-18 00:00:00+00:00,0.018181818181818184,0.011636363636363636,11,2,0,9
2025-03-19 00:00:00+00:00,0.19999999999999998,0.08,7,2,0,5
2025-03-20 00:00:00+00:00,0.17142857142857143,0.06065934065934065,14,1,0,13
2025-03-21 00:00:00+00:00,0.05,0.010000000000000002,4,1,0,3
2025-03-22 00:00:00+00:00,0.06666666666666667,0.013333333333333336,3,1,0,2
2025-03-23 00:00:00+00:00,0.0,0.0,0,0,0,0
2025-03-24 00:00:00+00:00,0.028571428571428574,0.005714285714285714,7,1,0,6
2025-03-25 00:00:00+00:00,0.05,0.010000000000000002,4,1,0,3
2025-03-26 00:00:00+00:00,0.075,0.06785714285714287,8,2,2,4
2025-03-27 00:00:00+00:00,0.03333333333333333,0.006060606060606061,12,2,0,10
2025-03-28 00:00:00+00:00,0.14285714285714285,0.049523809523809526,7,3,0,4
2025-03-29 00:00:00+00:00,0.16666666666666666,0.16666666666666669,6,1,0,5
2025-03-30 00:00:00+00:00,0.0,0.0,2,0,0,2
2025-03-31 00:00:00+00:00,0.0,0.0,6,0,0,6
2025-04-01 00:00:00+00:00,0.0,0.0,3,1,0,2
2025-04-02 00:00:00+00:00,0.028571428571428574,0.01904761904761905,7,1,1,5
2025-04-03 00:00:00+00:00,0.0,0.0,5,0,0,5
2025-04-04 00:00:00+00:00,0.12,0.072,5,1,0,4
2025-04-05 00:00:00+00:00,0.55,0.17,4,3,0,1
2025-04-06 00:00:00+00:00,0.0,0.0,1,0,0,1
