word,positive,negative,neutral,total_count
true,47.0,5.0,101.0,153.0
blockchain,53.0,4.0,96.0,153.0
founder,45.0,12.0,95.0,152.0
tech,48.0,4.0,100.0,152.0
infrastructure,71.0,5.0,75.0,151.0
become,65.0,4.0,81.0,150.0
etc,50.0,7.0,93.0,150.0
state,57.0,8.0,85.0,150.0
past,51.0,4.0,95.0,150.0
sec,49.0,6.0,94.0,149.0
anyone,46.0,9.0,94.0,149.0
trust,61.0,9.0,78.0,148.0
far,45.0,4.0,99.0,148.0
decentralized,59.0,14.0,75.0,148.0
life,57.0,6.0,85.0,148.0
game,35.0,9.0,103.0,147.0
00,55.0,12.0,80.0,147.0
said,52.0,7.0,88.0,147.0
again,104.0,0.0,42.0,146.0
platform,59.0,9.0,78.0,146.0
case,49.0,3.0,93.0,145.0
makes,52.0,6.0,87.0,145.0
demand,57.0,2.0,86.0,145.0
didn,34.0,6.0,105.0,145.0
him,46.0,8.0,90.0,144.0
fees,39.0,9.0,96.0,144.0
io,52.0,6.0,86.0,144.0
doing,49.0,4.0,91.0,144.0
l1,76.0,6.0,61.0,143.0
funds,44.0,7.0,92.0,143.0
important,44.0,9.0,89.0,142.0
between,43.0,10.0,89.0,142.0
forward,55.0,9.0,78.0,142.0
bull,92.0,0.0,49.0,141.0
thank,46.0,4.0,91.0,141.0
thanks,40.0,3.0,98.0,141.0
others,51.0,8.0,82.0,141.0
wrong,27.0,8.0,106.0,141.0
worth,41.0,9.0,90.0,140.0
short,48.0,11.0,80.0,139.0
ecosystem,51.0,10.0,78.0,139.0
needs,45.0,11.0,83.0,139.0
china,44.0,7.0,88.0,139.0
major,64.0,11.0,63.0,138.0
soon,51.0,2.0,85.0,138.0
tvl,61.0,5.0,72.0,138.0
security,62.0,8.0,68.0,138.0
looking,51.0,6.0,80.0,137.0
community,59.0,5.0,73.0,137.0
protocols,42.0,3.0,91.0,136.0
won,38.0,7.0,90.0,135.0
change,48.0,9.0,77.0,134.0
products,44.0,7.0,83.0,134.0
against,92.0,0.0,42.0,134.0
clear,43.0,9.0,81.0,133.0
else,44.0,8.0,81.0,133.0
phone,95.0,0.0,38.0,133.0
treasury,36.0,6.0,91.0,133.0
video,41.0,4.0,87.0,132.0
until,41.0,4.0,87.0,132.0
total,53.0,5.0,74.0,132.0
single,44.0,10.0,77.0,131.0
access,44.0,4.0,82.0,130.0
above,38.0,5.0,87.0,130.0
strong,59.0,7.0,64.0,130.0
email,98.0,0.0,32.0,130.0
someone,35.0,9.0,85.0,129.0
seen,34.0,3.0,92.0,129.0
each,54.0,4.0,71.0,129.0
america,55.0,7.0,67.0,129.0
win,41.0,9.0,79.0,129.0
probably,26.0,12.0,91.0,129.0
done,48.0,4.0,77.0,129.0
find,29.0,5.0,94.0,128.0
innovation,25.0,16.0,87.0,128.0
enough,34.0,10.0,84.0,128.0
might,48.0,2.0,78.0,128.0
coins,51.0,7.0,70.0,128.0
call,35.0,8.0,85.0,128.0
possible,39.0,5.0,83.0,127.0
must,52.0,4.0,71.0,127.0
learn,50.0,9.0,68.0,127.0
sure,22.0,7.0,98.0,127.0
times,40.0,7.0,80.0,127.0
systems,38.0,10.0,79.0,127.0
talk,39.0,6.0,81.0,126.0
strategy,30.0,5.0,91.0,126.0
private,48.0,4.0,74.0,126.0
chart,39.0,5.0,82.0,126.0
internet,40.0,6.0,80.0,126.0
account,42.0,5.0,78.0,125.0
month,43.0,11.0,71.0,125.0
prediction,48.0,2.0,74.0,124.0
started,37.0,9.0,78.0,124.0
average,38.0,7.0,79.0,124.0
biggest,34.0,11.0,79.0,124.0
current,43.0,10.0,70.0,123.0
history,47.0,7.0,69.0,123.0
structure,47.0,13.0,63.0,123.0
founders,38.0,9.0,76.0,123.0
12,48.0,8.0,67.0,123.0
ll,37.0,3.0,82.0,122.0
getting,45.0,6.0,71.0,122.0
payments,41.0,4.0,77.0,122.0
avalanche,53.0,3.0,66.0,122.0
fast,49.0,6.0,67.0,122.0
aave,30.0,6.0,85.0,121.0
update,111.0,0.0,10.0,121.0
million,42.0,8.0,71.0,121.0
hit,45.0,4.0,72.0,121.0
cost,42.0,7.0,72.0,121.0
key,44.0,4.0,72.0,120.0
likely,34.0,4.0,82.0,120.0
imo,28.0,10.0,82.0,120.0
investment,39.0,1.0,80.0,120.0
media,49.0,4.0,67.0,120.0
try,39.0,6.0,74.0,119.0
maybe,30.0,4.0,85.0,119.0
deep,45.0,2.0,71.0,118.0
layer,54.0,2.0,62.0,118.0
lending,40.0,7.0,71.0,118.0
exchange,46.0,7.0,65.0,118.0
together,43.0,4.0,70.0,117.0
prices,39.0,5.0,73.0,117.0
used,42.0,5.0,70.0,117.0
such,39.0,10.0,68.0,117.0
episode,28.0,10.0,79.0,117.0
trying,36.0,8.0,73.0,117.0
economic,45.0,3.0,68.0,116.0
range,54.0,2.0,60.0,116.0
themoon,96.0,0.0,20.0,116.0
almost,41.0,7.0,67.0,115.0
per,37.0,5.0,73.0,115.0
chains,60.0,3.0,52.0,115.0
largest,35.0,6.0,74.0,115.0
sell,34.0,6.0,74.0,114.0
space,33.0,6.0,75.0,114.0
anything,33.0,5.0,76.0,114.0
congrats,15.0,2.0,97.0,114.0
hold,50.0,3.0,61.0,114.0
problem,41.0,0.0,73.0,114.0
user,32.0,3.0,78.0,113.0
teams,50.0,2.0,60.0,112.0
join,34.0,5.0,73.0,112.0
policy,33.0,4.0,75.0,112.0
software,42.0,6.0,64.0,112.0
mean,31.0,9.0,72.0,112.0
check,36.0,5.0,71.0,112.0
sol,46.0,6.0,59.0,111.0
left,31.0,10.0,70.0,111.0
instead,26.0,8.0,77.0,111.0
massive,42.0,5.0,63.0,110.0
institutional,37.0,3.0,70.0,110.0
once,44.0,4.0,62.0,110.0
create,51.0,2.0,57.0,110.0
core,36.0,5.0,69.0,110.0
technology,43.0,1.0,66.0,110.0
bullish,69.0,0.0,40.0,109.0
smart,43.0,3.0,63.0,109.0
show,31.0,6.0,72.0,109.0
entire,42.0,1.0,66.0,109.0
article,14.0,2.0,92.0,108.0
