,telegram_message_count,telegram_avg_views,telegram_total_forwards,telegram_total_reactions,telegram_avg_sentiment,telegram_avg_positive,telegram_avg_negative,telegram_avg_neutral,telegram_avg_msg_length,whale_tx_count,whale_volume_sum,whale_volume_mean,whale_volume_max,whale_volume_std,twitter_post_count,twitter_likes,twitter_shares,twitter_comments,twitter_engagement,twitter_sentiment,twitter_coin_mentions,telegram_message_count_zscore,whale_tx_count_zscore,twitter_engagement_zscore
whale_volume_mean,-0.0032642372040853065,-0.002913979958424755,-0.00047513786311104557,-0.00292109574312914,-0.0015491856620133142,-0.0028227337848991977,-0.001962609350436064,-0.004042646207975216,-0.002876111805718479,-0.0005587493447819912,0.8847043642134018,1.0,0.8912963545745956,0.18198625522468656,-0.0019323809425310623,-0.0007051132249789142,-0.0007492343785415065,-0.0007523421145611845,-0.0007580477367989745,-0.0013914812514034776,-0.0011434274427471094,-0.0005855094007486376,0.045650752267116755,-0.0005533530813708969
whale_volume_max,0.006622516977613814,0.009127263495959157,0.0016043492782018085,0.007650615165397615,0.003352603721155284,0.006320301373902899,0.006640683684017299,0.010660216876347937,0.008081216710411386,0.006841577033682924,0.9980955863344874,0.8912963545745956,1.0,0.5629518312928815,0.008499556737213164,0.001155043150828574,0.0011633190061520965,0.001980807904265034,0.0013175702823006062,0.0025501615342387895,0.006389825785344516,-0.004567665441461389,0.04833381088404722,-0.004229307158293396
whale_volume_std,0.008511199902303456,0.011497436538145082,0.0021298046451504677,0.010708804461293905,0.0032898461334751427,0.0076882362123598625,0.007858794832937973,0.014046063143160028,0.009215681497379634,0.0030825523402987567,0.5741727894966729,0.18198625522468656,0.5629518312928815,1.0,0.004310561290815727,0.0004872857701059344,0.0004619338271291205,0.0009204830951403389,0.0005592410839895897,0.002246679664049812,0.0036019966898274804,-0.005400568386213507,0.027688551403612104,-0.00458337631647485
twitter_post_count,0.2905287745107219,0.22001989367566574,0.04706954998715805,0.26463668875356217,0.10049857585938003,0.21591939235574037,0.18233188382672502,0.3283632446244573,0.25267227201275977,0.16660589894015676,0.014069692693986221,-0.0019323809425310623,0.008499556737213164,0.004310561290815727,1.0,0.36500924247354977,0.37080334669553383,0.40727079486255846,0.3904740807214798,0.21383834749812605,0.5048310292474714,0.053169738101752045,0.0005785794915271356,0.19299917504800632
twitter_likes,0.08874401696915177,0.0742454603258973,0.013787723027379373,0.07832037647920911,0.028950943496846022,0.06774261591966857,0.05423103393256645,0.10384503097121751,0.08099867895392547,0.04426691913628626,0.0024828233690821085,-0.0007051132249789142,0.001155043150828574,0.0004872857701059344,0.36500924247354977,1.0,0.885027626895763,0.7048273200129913,0.9881210901349319,0.06822773927693805,0.21251645024589363,0.005270852214645673,-0.005151645096449002,0.28598615149797507
twitter_shares,0.09834407286570288,0.07586937971697084,0.014458043416885282,0.08212321184073944,0.02909542116805125,0.06974412942440636,0.057520404113055326,0.10759750608588567,0.08799404018925264,0.04755587797302114,0.0024686115314805353,-0.0007492343785415065,0.0011633190061520965,0.0004619338271291205,0.37080334669553383,0.885027626895763,1.0,0.6840754887129366,0.9341074337771259,0.07865160342549507,0.2047705365157414,0.01425162879072041,-0.006517992391891018,0.3237332656218372
twitter_comments,0.09812958425764165,0.07941227249705492,0.015047758221695077,0.08683664281637535,0.027697011144114263,0.07359122842497781,0.06102155892421885,0.11452191888264808,0.08489793674288414,0.044807118050950945,0.00338588507589335,-0.0007523421145611845,0.001980807904265034,0.0009204830951403389,0.40727079486255846,0.7048273200129913,0.6840754887129366,1.0,0.7723375216726579,0.0861365857362196,0.2666856710090121,0.012936829547165137,-0.004404371763709753,0.24812917938047763
twitter_engagement,0.09680138306830355,0.07911443192705084,0.014817443736970127,0.08433411945879507,0.030333207755298082,0.07244873814155811,0.058662233143357424,0.11143280458419438,0.08735790676266729,0.04741963127696828,0.0027181625098125165,-0.0007580477367989745,0.0013175702823006062,0.0005592410839895897,0.3904740807214798,0.9881210901349319,0.9341074337771259,0.7723375216726579,1.0,0.07645961717856148,0.2282665506200518,0.008643494111794936,-0.005656878805464208,0.3052904856998661
twitter_sentiment,0.17851202339629246,0.16836518896150116,0.029418383855962196,0.19267215919869957,0.08180591475360863,0.17109882148330252,0.1322478187740398,0.2263084734712947,0.1590093251516855,0.05997585607341564,0.004170876075085438,-0.0013914812514034776,0.0025501615342387895,0.002246679664049812,0.21383834749812605,0.06822773927693805,0.07865160342549507,0.0861365857362196,0.07645961717856148,1.0,0.17057925087022746,0.025121566707403047,0.005340955647009497,0.20027751788717635
twitter_coin_mentions,0.18699451507393935,0.14933529394055753,0.02956659753873461,0.17391685087535297,0.07162977988685824,0.14590516054445926,0.10931708942706356,0.21474656560446084,0.15819464602520403,0.07333991697232813,0.009983903516981352,-0.0011434274427471094,0.006389825785344516,0.0036019966898274804,0.5048310292474714,0.21251645024589363,0.2047705365157414,0.2666856710090121,0.2282665506200518,0.17057925087022746,1.0,0.041623414642162175,-0.0032509316605334447,0.16595497235001394
telegram_message_count_zscore,0.6015330547563745,0.07086861088075484,0.07729576898100227,0.3248883979882809,0.05187124316430098,0.1343295440970144,0.10808450298955989,0.19947939207725668,0.08564140861319357,7.949743728404506e-05,-0.004774337115806458,-0.0005855094007486376,-0.004567665441461389,-0.005400568386213507,0.053169738101752045,0.005270852214645673,0.01425162879072041,0.012936829547165137,0.008643494111794936,0.025121566707403047,0.041623414642162175,1.0,0.00783162423235023,0.0714222500482013
whale_tx_count_zscore,0.011936206161026293,0.005313071264984738,0.0008235330408779415,0.010884326956102983,0.0007703153161732298,0.006442999534201004,0.008615980529559458,0.007253960195557921,0.007779758092430511,0.0924058309138503,0.05099478412198228,0.045650752267116755,0.04833381088404722,0.027688551403612104,0.0005785794915271356,-0.005151645096449002,-0.006517992391891018,-0.004404371763709753,-0.005656878805464208,0.005340955647009497,-0.0032509316605334447,0.00783162423235023,1.0,-0.005862369119776669
twitter_engagement_zscore,0.037809385572315085,0.011435273032692718,0.001176850569785489,0.0506633712551006,0.024089067773325045,0.023902882494932127,0.0024980474161604405,0.022816234970934494,0.01884425196579798,-0.0055714869333787975,-0.00458966873761188,-0.0005533530813708969,-0.004229307158293396,-0.00458337631647485,0.19299917504800632,0.28598615149797507,0.3237332656218372,0.24812917938047763,0.3052904856998661,0.20027751788717635,0.16595497235001394,0.0714222500482013,-0.005862369119776669,1.0
