timestamp,priority_score,alert_level,reasons,telegram_msgs,whale_txs,twitter_engagement,telegram_sentiment,twitter_sentiment
2025-05-01 07:00:00,4,MEDIUM,텔레그램 메시지 급증 (z=2.56); 트위터 인플루언서 활동 급증 (z=4.65),6.0,11.0,8126.0,0.2172166666666667,0.0
2025-04-09 17:00:00,4,MEDIUM,텔레그램 메시지 급증 (z=2.97); 트위터 인플루언서 활동 급증 (z=3.88),7.0,6.0,334.0,0.2464,0.2
2025-03-31 15:00:00,4,MEDIUM,텔레그램 메시지 급증 (z=2.89); 트위터 인플루언서 활동 급증 (z=2.87),6.0,18.0,1162.0,-0.14277777777777778,0.0
2025-03-11 13:00:00,4,MEDIUM,텔레그램 메시지 급증 (z=2.21); 트위터 인플루언서 활동 급증 (z=2.01),7.0,4.0,103.0,-0.018279166666666673,0.0
2025-03-08 16:00:00,4,MEDIUM,텔레그램 메시지 급증 (z=3.09); 트위터 인플루언서 활동 급증 (z=4.19),7.0,3.0,1702.0,0.1913933333333333,0.0
2025-02-28 16:00:00,4,MEDIUM,텔레그램 메시지 급증 (z=2.90); 트위터 인플루언서 활동 급증 (z=3.55),10.0,3.0,532.0,0.0259625,0.0
2025-02-25 16:00:00,4,MEDIUM,텔레그램 메시지 급증 (z=2.04); 트위터 인플루언서 활동 급증 (z=4.68),7.0,8.0,1809.0,0.11614583333333334,0.0
2025-02-20 16:00:00,4,MEDIUM,텔레그램 메시지 급증 (z=2.43); 트위터 인플루언서 활동 급증 (z=4.69),6.0,4.0,105536.0,0.04439999999999995,0.0
2025-02-02 19:00:00,4,MEDIUM,텔레그램 메시지 급증 (z=2.03); 트위터 인플루언서 활동 급증 (z=4.69),6.0,2.0,8678.0,-0.051377777777777765,0.6
2025-02-01 14:00:00,4,MEDIUM,텔레그램 메시지 급증 (z=2.44); 트위터 인플루언서 활동 급증 (z=3.79),7.0,5.0,16147.0,0.18464,0.0
