timestamp,news_count,news_sentiment_avg,news_positive_avg,news_negative_avg,news_neutral_avg,news_title_length,news_content_length,news_bitcoin_mentions,news_ethereum_mentions,news_altcoin_mentions,news_regulation_mentions,news_whale_mentions,news_bullish_count,news_bearish_count,news_bullish_ratio,news_bearish_ratio
2025-07-24 00:00:00,5,0.0,0.0,0.0,1.0,37.4,166.6,2,1,0,0,1,0,0,0.0,0.0
2025-07-24 01:00:00,2,0.0,0.0,0.0,1.0,32.0,169.5,1,0,0,1,0,0,0,0.0,0.0
2025-07-24 02:00:00,2,0.0,0.0,0.0,1.0,38.5,169.5,0,0,0,1,0,0,0,0.0,0.0
2025-07-24 04:00:00,4,0.0,0.0,0.0,1.0,34.25,170.0,1,1,0,0,0,0,0,0.0,0.0
2025-07-24 05:00:00,4,0.0,0.0,0.0,1.0,33.75,165.25,2,0,2,0,1,0,1,0.0,0.24999999999375
2025-07-24 06:00:00,8,0.0,0.0,0.0,1.0,32.625,163.5,3,0,4,2,0,0,2,0.0,0.249999999996875
2025-07-24 07:00:00,12,0.0,0.0,0.0,1.0,37.0,168.41666666666666,4,0,2,1,1,1,4,0.08333333333263888,0.33333333333055554
2025-07-24 08:00:00,12,0.0,0.0,0.0,1.0,38.666666666666664,157.33333333333334,2,0,3,2,1,0,3,0.0,0.24999999999791667
2025-07-24 09:00:00,10,0.0,0.0,0.0,1.0,36.3,154.2,1,1,3,0,0,2,0,0.199999999998,0.0
2025-07-24 10:00:00,7,0.0,0.0,0.0,1.0,34.857142857142854,166.42857142857142,3,2,1,0,0,1,0,0.14285714285510204,0.0
2025-07-24 11:00:00,17,0.0,0.0,0.0,1.0,34.94117647058823,165.23529411764707,5,2,1,3,1,1,0,0.05882352941141869,0.0
2025-07-24 12:00:00,4,0.0,0.0,0.0,1.0,35.0,169.5,2,1,0,0,0,0,0,0.0,0.0
2025-07-24 13:00:00,3,0.0,0.0,0.0,1.0,39.0,164.33333333333334,0,0,0,0,0,0,0,0.0,0.0
2025-07-24 14:00:00,9,0.06851111111111112,0.013222222222222222,0.0,0.9867777777777778,38.22222222222222,154.22222222222223,2,1,5,1,0,2,2,0.22222222221975307,0.22222222221975307
2025-07-24 15:00:00,11,0.03434545454545455,0.018909090909090907,0.007272727272727273,0.9738181818181818,34.72727272727273,168.27272727272728,1,2,2,2,1,1,0,0.09090909090826446,0.0
2025-07-24 16:00:00,8,0.0,0.0,0.0,1.0,38.25,153.375,0,1,1,1,0,0,1,0.0,0.1249999999984375
2025-07-24 17:00:00,8,0.0,0.0,0.0,1.0,37.875,157.875,2,0,1,2,0,0,0,0.0,0.0
2025-07-24 18:00:00,4,0.0,0.0,0.0,1.0,36.0,165.5,1,0,1,0,1,0,0,0.0,0.0
2025-07-24 19:00:00,4,0.0,0.0,0.0,1.0,32.5,169.5,2,1,1,0,0,0,1,0.0,0.24999999999375
2025-07-24 20:00:00,1,0.0,0.0,0.0,1.0,47.0,170.0,1,0,1,0,0,0,1,0.0,0.9999999999
2025-07-24 21:00:00,4,0.0,0.0,0.0,1.0,35.75,165.25,1,0,0,1,0,2,2,0.4999999999875,0.4999999999875
2025-07-24 22:00:00,3,0.0,0.0,0.0,1.0,35.0,169.66666666666666,3,0,1,0,0,0,0,0.0,0.0
2025-07-24 23:00:00,4,0.0,0.0,0.0,1.0,39.75,164.5,3,1,2,0,0,1,2,0.24999999999375,0.4999999999875
2025-07-25 00:00:00,4,0.0,0.0,0.0,1.0,38.25,169.75,1,2,1,0,0,1,0,0.24999999999375,0.0
2025-07-25 01:00:00,2,0.0,0.0,0.0,1.0,40.0,161.0,2,0,0,1,1,0,0,0.0,0.0
2025-07-25 02:00:00,4,0.0,0.0,0.0,1.0,39.25,169.75,2,1,1,1,0,0,0,0.0,0.0
2025-07-25 03:00:00,1,0.0,0.0,0.0,1.0,54.0,170.0,0,0,0,1,0,0,0,0.0,0.0
2025-07-25 04:00:00,7,0.13,0.028142857142857143,0.0,0.9718571428571429,32.42857142857143,157.57142857142858,1,0,0,0,0,0,0,0.0,0.0
2025-07-25 05:00:00,6,0.0,0.0,0.0,1.0,32.0,153.33333333333334,2,4,1,0,0,3,0,0.49999999999166667,0.0
2025-07-25 06:00:00,6,0.0,0.0,0.0,1.0,36.5,169.33333333333334,2,0,1,1,0,1,1,0.16666666666388888,0.16666666666388888
2025-07-25 07:00:00,11,0.05326363636363636,0.007181818181818182,0.0,0.9928181818181817,37.0,165.72727272727272,1,3,3,0,0,2,0,0.18181818181652892,0.0
2025-07-25 08:00:00,11,0.0,0.0,0.0,1.0,40.63636363636363,162.27272727272728,5,2,2,1,1,1,2,0.09090909090826446,0.18181818181652892
2025-07-25 09:00:00,9,0.0,0.0,0.0,1.0,37.333333333333336,163.88888888888889,3,1,1,2,0,2,1,0.22222222221975307,0.11111111110987654
2025-07-25 10:00:00,14,0.0,0.0,0.0,1.0,36.92857142857143,158.71428571428572,6,3,2,1,0,2,0,0.14285714285612244,0.0
2025-07-25 11:00:00,10,0.0,0.0,0.0,1.0,38.5,164.7,1,2,1,1,0,0,0,0.0,0.0
2025-07-25 12:00:00,6,0.0,0.0,0.0,1.0,39.833333333333336,169.66666666666666,3,0,0,0,0,2,1,0.33333333332777776,0.16666666666388888
